Player,G,AB,H,HR,RBI,BB,SO,SB,AVG,OBP,SLG,OPS
Carson Kelly,57,183,49,11,31,30,35,0,.268,.370,.508,.878
Colin Rea,18,1,0,0,0,0,1,0,.000,.000,.000,.000
Dansby Swanson,88,340,86,15,42,26,97,7,.253,.303,.432,.735
Ian Happ,80,324,75,12,44,48,85,4,.231,.330,.389,.719
Jon Berti,42,87,18,0,2,4,21,9,.207,.258,.230,.488
Justin Turner,46,106,22,1,12,13,21,1,.208,.290,.264,.554
Kyle Tucker,88,332,94,17,52,55,55,21,.283,.386,.515,.901
Matt Shaw,58,195,41,2,14,20,42,11,.210,.289,.297,.586
Michael Busch,83,276,81,18,56,32,71,4,.293,.377,.562,.939
Nico Hoerner,85,323,91,3,36,20,24,16,.282,.331,.368,.699
Pete Crow-Armstrong,88,344,93,23,66,17,87,26,.270,.308,.552,.860
Reese McGuire,17,54,12,5,8,2,13,0,.222,.250,.519,.769
Seiya Suzuki,85,341,89,24,75,31,101,2,.261,.318,.551,.869
Vidal Bruján,28,32,5,0,2,1,9,2,.156,.182,.219,.401
